y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,43888,85235,2598706
01,97,AL,AL Total Migration-US,43312,83942,2560923
01,98,AL,AL Total Migration-Foreign,576,1293,37783
01,97,AL,AL Total Migration-Same State,57330,114686,2839499
01,01,AL,AL Non-migrants,1591032,3464654,109282679
01,13,GA,Georgia,7623,14924,382772
01,12,FL,Florida,6643,12617,413684
01,47,TN,Tennessee,3943,7282,218193
01,48,TX,Texas,3538,7189,208955
01,28,MS,Mississippi,2293,4617,112950
01,37,NC,North Carolina,1616,3169,98403
01,06,CA,California,1543,2775,93221
01,51,VA,Virginia,1332,2749,93115
01,22,LA,Louisiana,1039,1996,66515
01,45,SC,South Carolina,1001,1956,75977
01,08,CO,Colorado,936,1706,106397
01,39,OH,Ohio,826,1560,44828
01,36,NY,New York,810,1441,41141
01,26,MI,Michigan,707,1440,35815
01,17,IL,Illinois,706,1291,39183
01,53,WA,Washington,687,1275,38390
01,21,KY,Kentucky,676,1397,34059
01,04,AZ,Arizona,582,1141,38938
01,18,IN,Indiana,579,1167,27363
01,57,FR,Foreign,576,1293,37783
01,29,MO,Missouri,546,1055,34936
01,42,PA,Pennsylvania,543,1039,32100
01,24,MD,Maryland,478,883,30452
01,05,AR,Arkansas,411,811,27855
01,40,OK,Oklahoma,363,733,23533
01,20,KS,Kansas,296,681,16671
01,25,MA,Massachusetts,275,495,19501
01,32,NV,Nevada,273,525,14301
01,55,WI,Wisconsin,260,513,13460
01,34,NJ,New Jersey,250,433,13509
01,41,OR,Oregon,237,409,12541
01,15,HI,Hawaii,207,449,11831
01,27,MN,Minnesota,201,374,11546
01,49,UT,Utah,194,458,14033
01,35,NM,New Mexico,187,361,12179
01,02,AK,Alaska,170,370,9353
01,19,IA,Iowa,165,355,7172
01,11,DC,District Of Columbia,133,193,9179
01,31,NE,Nebraska,125,270,8193
01,09,CT,Connecticut,125,224,7746
01,54,WV,West Virginia,125,276,8113
01,30,MT,Montana,102,228,6203
01,16,ID,Idaho,91,188,5537
01,38,ND,North Dakota,86,167,4302
01,23,ME,Maine,83,157,5096
01,56,WY,Wyoming,70,151,16811
01,10,DE,Delaware,63,128,3264
01,46,SD,South Dakota,56,106,3533
01,33,NH,New Hampshire,53,101,2950
01,44,RI,Rhode Island,37,63,2414
01,50,VT,Vermont,27,54,2712
02,96,AK,AK Total Migration-US and Foreign,16890,33857,1076307
02,97,AK,AK Total Migration-US,16508,33046,1056023
02,98,AK,AK Total Migration-Foreign,382,811,20284
02,97,AK,AK Total Migration-Same State,6164,11411,366972
02,02,AK,AK Non-migrants,259648,541084,21951886
02,53,WA,Washington,1945,3633,123054
02,48,TX,Texas,1411,3157,108791
02,06,CA,California,1355,2354,74409
02,04,AZ,Arizona,899,1718,64821
02,12,FL,Florida,851,1720,53666
02,41,OR,Oregon,825,1463,51823
02,08,CO,Colorado,694,1320,46576
02,37,NC,North Carolina,543,1159,29479
02,16,ID,Idaho,475,986,35676
02,32,NV,Nevada,461,866,31283
02,13,GA,Georgia,449,1130,25403
02,51,VA,Virginia,394,889,26627
02,57,FR,Foreign,382,811,20284
02,15,HI,Hawaii,352,720,21819
02,27,MN,Minnesota,349,636,20915
02,47,TN,Tennessee,308,699,18404
02,49,UT,Utah,296,616,19506
02,30,MT,Montana,295,569,24044
02,26,MI,Michigan,295,604,18932
02,36,NY,New York,272,483,12165
02,39,OH,Ohio,271,506,18225
02,55,WI,Wisconsin,242,439,14612
02,29,MO,Missouri,242,536,13382
02,45,SC,South Carolina,226,488,13969
02,42,PA,Pennsylvania,222,412,12912
02,40,OK,Oklahoma,220,520,13651
02,01,AL,Alabama,217,539,13715
02,35,NM,New Mexico,209,433,14512
02,17,IL,Illinois,203,368,12674
02,24,MD,Maryland,170,349,10915
02,20,KS,Kansas,160,355,8576
