y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
01,96,AL,AL Total Migration US and Foreign,50357,103106,2167719
01,97,AL,AL Total Migration US,49341,100777,2118535
01,98,AL,AL Total Migration Foreign,1016,2329,49184
01,01,AL,AL Non-migrants,1584665,3603439,87222478
01,13,GA,GEORGIA,9726,19988,334270
01,12,FL,FLORIDA,8039,14729,279695
01,47,TN,TENNESSEE,3661,7576,155251
01,48,TX,TEXAS,3166,6773,168283
01,28,MS,MISSISSIPPI,2792,6016,112949
01,06,CA,CALIFORNIA,1701,3451,80533
01,37,NC,NORTH CAROLINA,1603,3542,70304
01,51,VA,VIRGINIA,1490,3264,98155
01,22,LA,LOUISIANA,1323,2743,66179
01,36,NY,NEW YORK,1175,2350,47715
01,26,MI,MICHIGAN,1063,2099,38535
01,39,OH,OHIO,1031,2036,41821
01,57,FR,Foreign,1016,2329,49184
01,17,IL,ILLINOIS,1011,1905,52113
01,45,SC,SOUTH CAROLINA,971,2108,43175
01,21,KY,KENTUCKY,931,2133,39704
01,18,IN,INDIANA,748,1578,31040
01,42,PA,PENNSYLVANIA,641,1231,28554
01,29,MO,MISSOURI,636,1328,29570
01,08,CO,COLORADO,624,1335,37114
01,53,WA,WASHINGTON,591,1263,29368
01,24,MD,MARYLAND,557,1065,33861
01,04,AZ,ARIZONA,515,1054,29965
01,05,AR,ARKANSAS,507,1080,26362
01,40,OK,OKLAHOMA,444,989,28273
01,34,NJ,NEW JERSEY,417,811,20986
01,20,KS,KANSAS,388,976,16998
01,55,WI,WISCONSIN,291,543,24791
01,15,HI,HAWAII,270,665,12070
01,25,MA,MASSACHUSETTS,251,438,11867
01,32,NV,NEVADA,236,464,12379
01,27,MN,MINNESOTA,230,428,11236
01,02,AK,ALASKA,227,553,10230
01,09,CT,CONNECTICUT,224,451,10054
01,35,NM,NEW MEXICO,219,495,9985
01,19,IA,IOWA,208,407,9393
01,54,WV,WEST VIRGINIA,165,349,7830
01,49,UT,UTAH,162,388,6823
01,31,NE,NEBRASKA,139,331,6823
01,41,OR,OREGON,121,223,4191
01,11,DC,DISTRICT OF COLUMBIA,115,164,6765
01,16,ID,IDAHO,98,225,3713
01,56,WY,WYOMING,90,179,3867
01,23,ME,MAINE,87,164,4759
01,30,MT,MONTANA,84,151,3114
01,33,NH,NEW HAMPSHIRE,78,141,3898
01,10,DE,DELAWARE,74,183,4034
01,46,SD,SOUTH DAKOTA,72,126,3436
01,38,ND,NORTH DAKOTA,58,108,2631
01,44,RI,RHODE ISLAND,51,115,1876
01,50,VT,VERMONT,40,63,2001
02,96,AK,AK Total Migration US and Foreign,18130,34228,742719
02,97,AK,AK Total Migration US,17417,32832,712778
02,98,AK,AK Total Migration Foreign,713,1396,29941
02,02,AK,AK Non-migrants,258223,547464,18646593
02,12,FL,FLORIDA,1699,2424,53449
02,53,WA,WASHINGTON,1629,2962,69500
02,06,CA,CALIFORNIA,1619,3070,58351
02,48,TX,TEXAS,1340,2949,71298
02,41,OR,OREGON,797,1356,31067
02,57,FR,Foreign,713,1396,29941
02,08,CO,COLORADO,589,1156,25889
02,04,AZ,ARIZONA,589,1063,30166
02,13,GA,GEORGIA,587,1202,21639
02,37,NC,NORTH CAROLINA,528,1177,18116
02,36,NY,NEW YORK,438,696,16627
02,51,VA,VIRGINIA,408,884,20162
02,26,MI,MICHIGAN,375,698,13725
02,16,ID,IDAHO,360,755,17338
02,15,HI,HAWAII,358,780,13438
02,27,MN,MINNESOTA,331,556,12559
02,30,MT,MONTANA,320,559,10438
02,32,NV,NEVADA,317,557,13246
02,42,PA,PENNSYLVANIA,317,519,13301
02,40,OK,OKLAHOMA,290,632,12518
02,49,UT,UTAH,289,647,12959
02,39,OH,OHIO,281,471,8797
02,17,IL,ILLINOIS,260,474,11145
02,29,MO,MISSOURI,258,569,10384
02,47,TN,TENNESSEE,251,529,10413
02,55,WI,WISCONSIN,249,434,10486
02,35,NM,NEW MEXICO,225,442,10317
02,01,AL,ALABAMA,201,456,8516
02,20,KS,KANSAS,192,448,8209
02,25,MA,MASSACHUSETTS,183,283,7273
02,45,SC,SOUTH CAROLINA,182,380,8867
02,22,LA,LOUISIANA,175,410,9242
02,21,KY,KENTUCKY,145,351,5413
02,56,WY,WYOMING,145,258,6630
02,18,IN,INDIANA,140,268,5117
02,24,MD,MARYLAND,136,264,6498
02,05,AR,ARKANSAS,134,278,4863
02,34,NJ,NEW JERSEY,132,258,7651
02,28,MS,MISSISSIPPI,117,207,4305
02,23,ME,MAINE,101,179,3817
02,46,SD,SOUTH DAKOTA,95,154,3840
02,09,CT,CONNECTICUT,93,135,3829
02,19,IA,IOWA,91,165,2968
02,38,ND,NORTH DAKOTA,88,178,3391
02,33,NH,NEW HAMPSHIRE,76,102,3176
02,31,NE,NEBRASKA,76,148,2720
02,11,DC,DISTRICT OF COLUMBIA,54,79,2752
02,54,WV,WEST VIRGINIA,49,97,1583
02,50,VT,VERMONT,45,63,2146
02,10,DE,DELAWARE,32,60,1536
02,44,RI,RHODE ISLAND,31,50,1106
04,96,AZ,AZ Total Migration US and Foreign,101118,195716,5372697
04,97,AZ,AZ Total Migration US,98730,190316,5258696
04,98,AZ,AZ Total Migration Foreign,2388,5400,114001
04,04,AZ,AZ Non-migrants,2121852,4832574,123282304
04,06,CA,CALIFORNIA,18897,37085,946689
04,48,TX,TEXAS,6402,13141,357709
04,53,WA,WASHINGTON,5451,10614,298019
04,12,FL,FLORIDA,4509,7209,207969
04,17,IL,ILLINOIS,4448,8050,293740
04,08,CO,COLORADO,4405,8530,241555
04,35,NM,NEW MEXICO,3885,8505,150588
04,32,NV,NEVADA,3427,6904,151693
04,36,NY,NEW YORK,2903,4941,162161
