y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
01,96,AL,AL Total Migration US and Foreign,50379,103386,2294467
01,97,AL,AL Total Migration US,49516,101455,2247089
01,98,AL,AL Total Migration Foreign,863,1931,47378
01,01,AL,AL Non-migrants,1581562,3585285,92260065
01,13,GA,Georgia,9517,19081,348015
01,12,FL,Florida,7254,14422,424170
01,48,TX,Texas,4536,9719,220678
01,47,TN,Tennessee,4140,8499,201352
01,28,MS,Mississippi,2648,5824,110302
01,37,NC,North Carolina,1815,3752,93529
01,06,CA,California,1784,3413,88250
01,22,LA,Louisiana,1508,3096,68978
01,51,VA,Virginia,1320,2842,74171
01,45,SC,South Carolina,1033,2281,51453
01,39,OH,Ohio,951,1967,38645
01,36,NY,New York,945,1693,37153
01,08,CO,Colorado,893,1941,44489
01,57,FR,Foreign,863,1931,47378
01,26,MI,Michigan,837,1694,31622
01,17,IL,Illinois,802,1510,32717
01,21,KY,Kentucky,740,1655,34880
01,29,MO,Missouri,648,1260,29645
01,18,IN,Indiana,645,1405,25874
01,53,WA,Washington,624,1317,28086
01,42,PA,Pennsylvania,569,1171,33248
01,24,MD,Maryland,544,1072,28436
01,04,AZ,Arizona,544,1038,24597
01,40,OK,Oklahoma,486,1041,19577
01,05,AR,Arkansas,462,1001,18714
01,20,KS,Kansas,407,933,19688
01,34,NJ,New Jersey,285,549,14521
01,55,WI,Wisconsin,276,574,11117
01,15,HI,Hawaii,276,623,13263
01,32,NV,Nevada,273,559,15748
01,25,MA,Massachusetts,262,466,11888
01,27,MN,Minnesota,241,483,9752
01,02,AK,Alaska,211,475,8718
01,19,IA,Iowa,201,441,7642
01,35,NM,New Mexico,190,429,8136
01,41,OR,Oregon,182,337,9272
01,49,UT,Utah,157,337,10242
01,09,CT,Connecticut,146,277,6562
01,54,WV,West Virginia,142,323,7245
01,31,NE,Nebraska,138,300,5480
01,11,DC,District Of Columbia,129,185,5724
01,30,MT,Montana,109,210,4948
