y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,44507,94198,2134148
01,97,AL,AL Total Migration-US,43621,92053,2088076
01,98,AL,AL Total Migration-Foreign,886,2145,46072
01,97,AL,AL Total Migration-Same State,56941,120358,2291807
01,01,AL,AL Non-migrants,1580065,3564148,91645908
01,13,GA,Georgia,7835,16672,327510
01,12,FL,Florida,6090,12339,278312
01,47,TN,Tennessee,3485,7097,162759
01,48,TX,Texas,3147,6997,156272
01,28,MS,Mississippi,2796,5857,124921
01,37,NC,North Carolina,1589,3513,80133
01,06,CA,California,1567,3255,85024
01,51,VA,Virginia,1310,2947,85697
01,22,LA,Louisiana,1194,2511,65813
01,39,OH,Ohio,1043,2217,49079
01,36,NY,New York,991,1959,42807
01,17,IL,Illinois,990,2008,51869
01,26,MI,Michigan,951,1933,39132
01,57,FR,Foreign,886,2145,46072
01,45,SC,South Carolina,854,1892,44713
01,21,KY,Kentucky,845,1874,37869
01,18,IN,Indiana,705,1488,31889
01,08,CO,Colorado,623,1355,36355
01,29,MO,Missouri,601,1266,31091
01,42,PA,Pennsylvania,559,1057,29035
01,53,WA,Washington,549,1303,25938
01,05,AR,Arkansas,496,1097,25035
01,04,AZ,Arizona,472,938,26511
01,24,MD,Maryland,469,951,26811
01,40,OK,Oklahoma,383,869,14459
01,34,NJ,New Jersey,328,649,15901
01,20,KS,Kansas,324,792,15904
01,15,HI,Hawaii,305,825,15852
01,55,WI,Wisconsin,284,540,14449
01,25,MA,Massachusetts,267,470,14690
01,32,NV,Nevada,232,517,11125
01,02,AK,Alaska,226,512,10232
01,27,MN,Minnesota,211,476,12248
01,09,CT,Connecticut,182,358,10925
01,19,IA,Iowa,180,364,9258
01,35,NM,New Mexico,174,356,9172
01,41,OR,Oregon,162,310,8250
01,54,WV,West Virginia,158,333,7679
01,49,UT,Utah,149,373,8901
01,31,NE,Nebraska,137,336,7036
01,56,WY,Wyoming,90,188,3993
01,30,MT,Montana,85,173,4277
01,38,ND,North Dakota,84,154,4793
01,46,SD,South Dakota,81,167,3915
01,33,NH,New Hampshire,76,138,3196
01,23,ME,Maine,70,129,3159
01,11,DC,District Of Columbia,70,92,4802
01,16,ID,Idaho,68,159,2682
01,10,DE,Delaware,58,102,2771
01,44,RI,Rhode Island,45,85,1631
01,50,VT,Vermont,31,60,2203
02,96,AK,AK Total Migration-US and Foreign,15807,31390,769463
02,97,AK,AK Total Migration-US,15335,30193,744045
02,98,AK,AK Total Migration-Foreign,472,1197,25418
02,97,AK,AK Total Migration-Same State,6924,12930,376019
02,02,AK,AK Non-migrants,259665,547420,19728052
02,06,CA,California,1591,2853,71077
02,53,WA,Washington,1493,2889,68141
02,48,TX,Texas,1188,2632,87711
02,12,FL,Florida,830,1568,34816
02,41,OR,Oregon,720,1241,32239
02,08,CO,Colorado,626,1238,35814
02,04,AZ,Arizona,595,1131,29911
02,37,NC,North Carolina,547,1294,21656
02,13,GA,Georgia,478,1065,19227
02,57,FR,Foreign,472,1197,25418
02,51,VA,Virginia,388,848,21109
02,36,NY,New York,353,628,14409
02,15,HI,Hawaii,344,766,16574
02,32,NV,Nevada,311,564,13844
02,16,ID,Idaho,305,642,16262
02,26,MI,Michigan,302,498,12100
02,30,MT,Montana,285,511,13032
02,17,IL,Illinois,281,472,14628
02,49,UT,Utah,278,636,13153
02,42,PA,Pennsylvania,265,441,12590
02,27,MN,Minnesota,264,452,11589
02,40,OK,Oklahoma,261,581,14287
02,39,OH,Ohio,258,528,12254
02,29,MO,Missouri,244,491,10023
02,47,TN,Tennessee,231,447,9679
02,55,WI,Wisconsin,210,356,14106
02,01,AL,Alabama,193,413,8603
02,22,LA,Louisiana,186,406,8762
02,35,NM,New Mexico,181,385,8963
02,45,SC,South Carolina,170,400,5837
02,20,KS,Kansas,168,406,7734
02,24,MD,Maryland,164,313,8695
02,21,KY,Kentucky,148,360,7389
02,25,MA,Massachusetts,132,225,6622
02,18,IN,Indiana,131,232,4337
02,56,WY,Wyoming,123,247,7542
02,34,NJ,New Jersey,120,212,5144
02,05,AR,Arkansas,112,231,4189
02,28,MS,Mississippi,110,247,4841
02,19,IA,Iowa,102,182,4096
02,46,SD,South Dakota,93,167,3845
02,23,ME,Maine,92,173,4733
02,38,ND,North Dakota,86,153,4175
02,09,CT,Connecticut,82,128,3562
02,31,NE,Nebraska,74,149,3251
02,33,NH,New Hampshire,55,87,2558
02,54,WV,West Virginia,52,91,2092
02,50,VT,Vermont,40,61,2064
02,11,DC,District Of Columbia,27,35,2734
02,10,DE,Delaware,25,69,1138
02,44,RI,Rhode Island,21,49,909
04,96,AZ,AZ Total Migration-US and Foreign,98161,191416,5788883
04,97,AZ,AZ Total Migration-US,95701,185863,5655637
04,98,AZ,AZ Total Migration-Foreign,2460,5553,133246
04,97,AZ,AZ Total Migration-Same State,37532,77910,1577171
04,04,AZ,AZ Non-migrants,2165296,4860906,133659064
04,06,CA,California,19302,37955,1091182
04,48,TX,Texas,6581,13649,386121
04,17,IL,Illinois,4945,9217,346863
04,08,CO,Colorado,4617,8816,275263
04,53,WA,Washington,4616,8695,289317
04,35,NM,New Mexico,3994,8923,170298
04,12,FL,Florida,3383,5882,169818
04,32,NV,Nevada,3252,6507,104308
04,36,NY,New York,2773,4862,180868
04,26,MI,Michigan,2554,4745,141179
04,49,UT,Utah,2541,5843,117341
04,57,FR,Foreign,2460,5553,133246
04,41,OR,Oregon,2370,4258,137701
04,27,MN,Minnesota,2352,4295,275547
04,39,OH,Ohio,2284,4118,147184
04,55,WI,Wisconsin,2062,3699,128087
04,42,PA,Pennsylvania,1879,3356,122134
04,51,VA,Virginia,1629,3298,115492
04,29,MO,Missouri,1598,3085,93046
04,37,NC,North Carolina,1539,3245,78040
04,18,IN,Indiana,1488,2836,84425
04,13,GA,Georgia,1448,3050,75548
04,34,NJ,New Jersey,1203,2208,111576
04,19,IA,Iowa,1107,1994,67983
04,16,ID,Idaho,1099,2407,56081
04,20,KS,Kansas,1042,2107,61386
04,47,TN,Tennessee,998,1986,57871
04,25,MA,Massachusetts,985,1709,64048
04,40,OK,Oklahoma,962,1936,43927
04,24,MD,Maryland,913,1727,70835
04,31,NE,Nebraska,858,1596,52254
04,02,AK,Alaska,849,1640,51740
04,15,HI,Hawaii,830,1682,40864
04,30,MT,Montana,825,1492,37874
04,46,SD,South Dakota,629,1174,31507
04,38,ND,North Dakota,619,1129,47066
04,56,WY,Wyoming,615,1242,41536
04,09,CT,Connecticut,597,1034,45775
04,05,AR,Arkansas,559,1134,22267
04,45,SC,South Carolina,556,1138,27363
04,21,KY,Kentucky,555,1112,28517
04,22,LA,Louisiana,489,1008,23113
04,01,AL,Alabama,472,966,23999
04,28,MS,Mississippi,332,646,13913
04,33,NH,New Hampshire,316,584,43094
04,23,ME,Maine,275,477,11470
04,54,WV,West Virginia,180,372,9759
04,50,VT,Vermont,176,252,8066
04,44,RI,Rhode Island,169,297,13901
04,11,DC,District Of Columbia,143,213,10423
04,10,DE,Delaware,141,267,7667
05,96,AR,AR Total Migration-US and Foreign,29055,60802,1334920
05,97,AR,AR Total Migration-US,28680,59956,1314829
05,98,AR,AR Total Migration-Foreign,375,846,20091
05,97,AR,AR Total Migration-Same State,39706,82182,1450699
05,05,AR,AR Non-migrants,940560,2127015,54578020
05,48,TX,Texas,5299,11031,250506
05,29,MO,Missouri,2738,5686,107605
05,40,OK,Oklahoma,2650,5835,94268
05,47,TN,Tennessee,1706,3539,81069
05,06,CA,California,1635,3385,73193
05,12,FL,Florida,1322,2617,65163
05,22,LA,Louisiana,1288,2774,57443
05,17,IL,Illinois,1084,2170,56683
05,28,MS,Mississippi,975,2110,39656
05,13,GA,Georgia,691,1459,33379
05,20,KS,Kansas,648,1406,30330
05,08,CO,Colorado,555,1159,27444
05,37,NC,North Carolina,543,1212,27142
05,51,VA,Virginia,495,1049,27365
05,01,AL,Alabama,463,960,21761
05,26,MI,Michigan,443,901,17386
05,04,AZ,Arizona,436,901,21483
05,39,OH,Ohio,394,824,23932
05,36,NY,New York,381,697,17694
05,57,FR,Foreign,375,846,20091
05,53,WA,Washington,356,754,14105
05,18,IN,Indiana,353,724,13761
05,55,WI,Wisconsin,342,665,13624
05,21,KY,Kentucky,293,658,13345
05,42,PA,Pennsylvania,291,558,15384
05,27,MN,Minnesota,279,580,19103
05,19,IA,Iowa,278,581,11631
05,45,SC,South Carolina,248,505,11366
05,32,NV,Nevada,217,428,7893
05,31,NE,Nebraska,211,446,11734
05,34,NJ,New Jersey,198,414,13684
05,35,NM,New Mexico,186,384,7689
05,24,MD,Maryland,176,365,13800
05,41,OR,Oregon,164,340,5572
05,25,MA,Massachusetts,136,244,7723
05,02,AK,Alaska,135,294,7552
05,15,HI,Hawaii,130,307,4700
05,49,UT,Utah,122,300,5577
05,56,WY,Wyoming,108,248,4872
