y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,45058,89699,2821594
01,97,AL,AL Total Migration-US,44502,88386,2786158
01,98,AL,AL Total Migration-Foreign,556,1313,35436
01,97,AL,AL Total Migration-Same State,63266,129762,3419262
01,01,AL,AL Non-migrants,1590633,3498183,111701780
01,13,GA,Georgia,7830,15636,433366
01,12,FL,Florida,6902,13551,517167
01,47,TN,Tennessee,4109,7842,293025
01,48,TX,Texas,3803,7814,254186
01,28,MS,Mississippi,2431,4933,117760
01,37,NC,North Carolina,1747,3447,118007
01,06,CA,California,1502,2743,86102
01,51,VA,Virginia,1278,2657,97916
01,08,CO,Colorado,1026,1935,62243
01,22,LA,Louisiana,1014,2006,60780
01,45,SC,South Carolina,985,1939,63819
01,39,OH,Ohio,833,1702,44947
01,36,NY,New York,736,1351,35467
01,26,MI,Michigan,729,1531,33641
01,21,KY,Kentucky,700,1534,43977
01,17,IL,Illinois,699,1398,38453
01,18,IN,Indiana,626,1221,29529
01,53,WA,Washington,577,1121,34271
01,57,FR,Foreign,556,1313,35436
01,04,AZ,Arizona,547,1028,32256
01,42,PA,Pennsylvania,534,1046,30731
01,29,MO,Missouri,522,1134,31900
01,24,MD,Maryland,433,840,28684
01,05,AR,Arkansas,416,871,26146
01,40,OK,Oklahoma,397,841,22058
01,20,KS,Kansas,346,762,19276
01,34,NJ,New Jersey,274,520,16027
01,32,NV,Nevada,269,492,16263
01,41,OR,Oregon,260,465,13155
01,55,WI,Wisconsin,257,550,13460
01,25,MA,Massachusetts,249,421,15646
01,15,HI,Hawaii,247,576,14584
01,49,UT,Utah,233,577,17720
01,02,AK,Alaska,218,489,13608
01,27,MN,Minnesota,218,416,13185
01,35,NM,New Mexico,182,345,11350
01,19,IA,Iowa,175,375,10248
01,54,WV,West Virginia,145,301,8273
01,09,CT,Connecticut,142,265,8208
01,31,NE,Nebraska,119,230,6946
